      Timestamps    Delays [ms]
--  ------------  -------------
 0        199738              6
 1        200755              9
 2        204760              6
 3        208768             15
 4        211789              7
 5        211809              4
 6        215818             11
 7        219832             14
 8        223847             16
 9        225874             13
10        227899             12
11        229916              5
12        232927              7
13        232947              4
14        236953             13
15        239972              8
16        243981             15
17        245010              8
18        248019             10
19        248038              7
20        252042              6
21        254058             14
22        257080              7
23        258108             12
24        261119             13
25        261139              9
26        264149             13
27        268159              4
28        270165              7
29        272176              4
30        276175              7
31        280186             13
32        282213             11
33        283238              7
34        283258             17
35        284292              5
36        284309              4
37        285328              5
38        286346              7
39        289359              7
40        292371              7
41        295381              9
42        295398              8
43        299402              6
44        302410             11
45        303435              7
46        307443             15
47        307470              5
48        307487              4
49        311492             15
50        314514              7
51        318522             15
52        321543              8
53        325549              1
54        326555             15
55        326578              8
56        327590             17
57        327613             10
58        328631             13
59        330655             13
60        330681              4
61        331692             12
62        332716              9
63        333740              6
64        334761              6
65        336781              9
66        337796             13
67        338812              2
68        338820              9
69        339837             12
70        339856             10
71        343863              4
72        347860              9
73        348876             12
74        350892              7
75        351911              7
76        355920             14
77        356948              7
78        359962              6
79        360981              7
80        360999              5
81        362016              9
82        362037              4
83        365043             10
84        368056             10
85        369080              7
86        370100              8
87        371121              6
88        374132              8
89        378141             15
90        381162              8
91        385171             15
92        387192              3
93        390197             11
94        394207              3
95        397215              7
96        398240              3
97        399258              5
98        402269              7
99        402288              4
