        Measured Period [us]    Set Period [us]    Error [%]
----  ----------------------  -----------------  -----------
   0                 39.875                1000     96.0125
   1                 39.9375               1000     96.0063
   2                 39.875                1000     96.0125
   3                 39.9375               1000     96.0063
   4                 39.875                1000     96.0125
   5                 39.9375               1000     96.0063
   6                 39.875                1000     96.0125
   7                 39.9375               1000     96.0063
   8                 39.875                1000     96.0125
   9                 39.875                1000     96.0125
  10                 39.9375               1000     96.0063
  11                 39.875                1000     96.0125
  12                 39.9375               1000     96.0063
  13                 39.875                1000     96.0125
  14                 39.9375               1000     96.0063
  15                 39.875                1000     96.0125
  16                 39.9375               1000     96.0063
  17                 39.875                1000     96.0125
  18                 39.875                1000     96.0125
  19                 39.9375               1000     96.0063
  20                 39.875                1000     96.0125
  21                 39.9375               1000     96.0063
  22                 39.875                1000     96.0125
  23                 39.9375               1000     96.0063
  24                 39.875                1000     96.0125
  25                 39.875                1000     96.0125
  26                 39.9375               1000     96.0063
  27                 39.875                1000     96.0125
  28                 39.9375               1000     96.0063
  29                 39.875                1000     96.0125
  30                 39.9375               1000     96.0063
  31                 39.875                1000     96.0125
  32                 39.9375               1000     96.0063
  33                 39.875                1000     96.0125
  34                 39.875                1000     96.0125
  35                 39.9375               1000     96.0063
  36                994.938                1000      0.50625
  37                995                    1000      0.5
  38                992.938                1000      0.70625
  39                993                    1000      0.7
  40                994.938                1000      0.50625
  41                995                    1000      0.5
  42                994.938                1000      0.50625
  43                994.938                1000      0.50625
  44                993                    1000      0.7
  45                993                    1000      0.7
  46                994.938                1000      0.50625
  47                994.938                1000      0.50625
  48                995                    1000      0.5
  49                994.938                1000      0.50625
  50                993                    1000      0.7
  51                992.938                1000      0.70625
  52                995                    1000      0.5
  53                994.938                1000      0.50625
  54                994.938                1000      0.50625
  55                995                    1000      0.5
  56                992.938                1000      0.70625
  57                993                    1000      0.7
  58                994.938                1000      0.50625
  59                995                    1000      0.5
  60                994.938                1000      0.50625
  61                994.938                1000      0.50625
  62                993                    1000      0.7
  63                992.938                1000      0.70625
  64                995                    1000      0.5
  65                994.938                1000      0.50625
  66                995                    1000      0.5
  67                994.938                1000      0.50625
  68                993                    1000      0.7
  69                992.938                1000      0.70625
  70                994.938                1000      0.50625
  71                995                    1000      0.5
  72                994.938                1000      0.50625
  73                995                    1000      0.5
  74                992.938                1000      0.70625
  75                993                    1000      0.7
  76                994.938                1000      0.50625
  77                995                    1000      0.5
  78                994.938                1000      0.50625
  79                994.938                1000      0.50625
  80                993                    1000      0.7
  81                992.938                1000      0.70625
  82                995                    1000      0.5
  83                994.938                1000      0.50625
  84                995                    1000      0.5
  85                994.938                1000      0.50625
  86                994.938                1000      0.50625
  87                995                    1000      0.5
  88                992.938                1000      0.70625
  89                993                    1000      0.7
  90                994.938                1000      0.50625
  91                995                    1000      0.5
  92                994.938                1000      0.50625
  93                994.938                1000      0.50625
  94                993                    1000      0.7
  95                992.938                1000      0.70625
  96                995                    1000      0.5
  97                994.938                1000      0.50625
  98                995                    1000      0.5
  99                994.938                1000      0.50625
 100                993                    1000      0.7
 101                992.938                1000      0.70625
